Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (¡C),Maximum Temperature (¡C),Minimum Temperature (¡C),Mean Wind Speed (km/h),Max Wind Speed (km/h),DayOfWeek
0,0,0,0,0.7236842105263164,0.8034188034188037,0.5342465753424657,0.5363636363636364,0.3351955307262569,0.6666666666666666
0,0,0,0,0.6842105263157898,0.7350427350427355,0.5342465753424657,0.5045454545454545,0.37430167597765357,0.8333333333333333
0,0,0,0,0.6447368421052633,0.7350427350427355,0.46575342465753433,0.49090909090909085,0.3612662942271881,1
0,0,0,0,0.7236842105263164,0.8119658119658122,0.5342465753424657,0.5363636363636364,0.3612662942271881,0
0,0,0,0,0.736842105,0.7179487179487181,0.6438356164383561,0.7181818181818181,0.43575419,0.16666666666666666
0.000949668,0.003154574,0.00245098,0.002336449,0.6447368421052633,0.683760684,0.6027397260273974,0.5863636363636364,0.49534450651769074,0.3333333333333333
0,0,0,0,0.6842105263157898,0.726495726,0.6027397260273974,0.5363636363636364,0.4283054003724393,0.5
0,0,0,0,0.7105263157894739,0.7350427350427355,0.5890410958904111,0.6045454545454545,0.5027932960893853,0.6666666666666666
0,0,0,0,0.6973684210526319,0.7606837606837611,0.6027397260273974,0.6045454545454545,0.39478584729981375,0.8333333333333333
0,0,0,0,0.6315789473684212,0.7606837606837611,0.4109589041095889,0.5363636363636364,0.3482309124767225,1
0,0,0,0,0.6578947368421058,0.8290598290598292,0.397260274,0.5363636363636364,0.29422718808193665,0
0,0,0,0,0.7500000000000004,0.8632478632478637,0.4383561643835612,0.4090909090909091,0.19366852886405955,0.16666666666666666
0,0,0,0,0.7105263157894739,0.683760684,0.7123287671232874,0.4545454545454546,0.29422718808193665,0.3333333333333333
0,0,0,0,0.8289473684210527,0.8632478632478637,0.6986301369863015,0.4409090909090909,0.3202979515828677,0.5
0,0,0,0,0.8157894736842111,0.8717948717948718,0.6849315068493147,0.4727272727272728,0.260707635,0.6666666666666666
0,0,0,0,0.8026315789473686,0.8461538461538467,0.6712328767123288,0.49090909090909085,0.40782122905027934,0.8333333333333333
0,0,0,0,0.8026315789473686,0.9059829059829068,0.6438356164383561,0.5363636363636364,0.4283054003724393,1
0.1225071225071225,0.2902208201892744,0.3088235294117647,0.30140186915887857,0.5657894736842106,0.7606837606837611,0.082191781,0.34090909090909094,0.48789571694599615,0
0.005698006,0.015772870662460567,0.012254901960784315,0.011682242990654207,0.6710526315789473,0.9145299145299148,0.4383561643835612,0.3090909090909091,0.260707635,0.16666666666666666
